model_name,accuracy,precision,recall,f1_score,roc_auc,fraud_detection_rate,false_alarm_rate,total_business_cost,potential_savings,roi_percentage
LightGBM_Tuned,0.9926715522984677,0.7307692307692307,0.8260869565217391,0.7755102040816326,0.9971171383185268,82.61,0.47,670,3730,556.72
LightGBM_v1,0.988674217188541,0.5789473684210527,0.9565217391304348,0.7213114754098361,0.9970288874507266,95.65,1.08,310,4240,1367.74
XGBoost_Tuned,0.9880079946702198,0.5757575757575758,0.8260869565217391,0.6785714285714286,0.9968229687591929,82.61,0.95,740,3660,494.59
